SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS;DATA_DADES
01053;1091;1023;230;160;1355;369;1349;231;534;10/01/11
01054;669;668;125;105;899;208;834;181;322;10/01/11
01055;575;687;111;85;733;333;1030;114;118;10/01/11
02001;562;596;150;88;689;231;955;62;141;10/01/11
02002;1907;1209;253;329;2139;395;1499;226;1391;10/01/11
02003;551;700;163;127;660;301;1053;59;139;10/01/11
02004;709;822;170;141;902;318;1164;112;255;10/01/11
02005;973;1126;249;180;1231;439;1807;104;188;10/01/11
02006;743;842;191;127;894;373;1325;126;134;10/01/11
02007;544;726;133;112;725;300;1039;92;139;10/01/11
02008;827;1005;228;173;1051;380;1546;129;157;10/01/11
02009;775;906;181;171;1037;292;1418;78;185;10/01/11
02010;552;642;145;97;720;232;1011;70;113;10/01/11
02011;555;588;133;105;667;238;1023;46;74;10/01/11
02012;744;802;162;156;970;258;1257;98;191;10/01/11
02013;554;611;148;96;687;234;942;58;165;10/01/11
02014;637;709;150;84;863;249;940;151;255;10/01/11
02015;744;869;145;142;947;379;1241;89;283;10/01/11
02016;858;1035;197;172;1118;406;1567;126;200;10/01/11
02017;881;1059;246;203;1094;397;1623;130;187;10/01/11
02018;869;1020;204;142;1068;475;1598;78;213;10/01/11
02019;891;1040;212;185;1113;421;1600;94;237;10/01/11
02020;660;788;146;121;892;289;1121;100;227;10/01/11
02021;712;806;128;98;918;374;1226;78;214;10/01/11
02022;574;651;159;98;730;238;1016;36;173;10/01/11
02023;537;573;107;107;650;246;988;32;90;10/01/11
02024;548;629;113;115;716;233;962;38;177;10/01/11
02025;561;671;118;88;758;268;1010;49;173;10/01/11
02026;957;1139;227;190;1230;449;1745;98;253;10/01/11
02027;934;1089;195;158;1174;496;1760;114;149;10/01/11
02028;954;1134;235;208;1240;405;1721;92;275;10/01/11
02029;536;595;108;89;741;193;985;57;89;10/01/11
02030;597;677;130;112;727;305;1032;47;195;10/01/11
02031;474;563;109;76;620;232;938;21;78;10/01/11
02032;548;787;124;89;657;465;1195;50;90;10/01/11
02033;573;656;123;82;750;274;1026;53;150;10/01/11
02034;526;641;97;85;696;289;933;62;172;10/01/11
02035;588;722;107;122;691;390;1121;44;145;10/01/11
02036;588;658;138;122;732;254;1048;70;128;10/01/11
02037;616;616;147;114;748;223;1100;45;87;10/01/11
02038;763;830;237;138;957;261;1453;49;91;10/01/11
02039;769;1000;205;128;1022;414;1482;68;219;10/01/11
02040;790;870;163;140;1026;331;1222;95;343;10/01/11
02041;780;980;155;136;992;477;1523;43;194;10/01/11
02042;813;905;159;175;979;405;1532;40;146;10/01/11
02043;682;774;168;138;874;276;1279;61;116;10/01/11
02044;553;691;105;117;715;307;977;57;210;10/01/11
02045;560;660;116;106;736;262;1002;68;150;10/01/11
